label,case,source,config,mechanism,tool,shape,n_neg_init,n_neg_final,neg_vol_init,neg_vol_final,n_clusters_init,n_clusters_final,min_jdet_init,min_jdet_final,l2_err,time_s,frac_nonpos_jdet_init,frac_nonpos_jdet_final,sdlogj_init,sdlogj_final,moved_frac,l1_move,l2_move,max_move,mean_move_moved,feasible,simplex_n_neg_init,simplex_n_below_init,simplex_min_init,bilinear_n_neg_init,bilinear_n_below_init,bilinear_min_init,finite_n_neg_init,finite_n_below_init,finite_min_init,jdet_n_neg_init,jdet_n_below_init,jdet_min_init,simplex_n_neg_final,simplex_n_below_final,simplex_min_final,bilinear_n_neg_final,bilinear_n_below_final,bilinear_min_final,finite_n_neg_final,finite_n_below_final,finite_min_final,jdet_n_neg_final,jdet_n_below_final,jdet_min_final,ift_min_radius_init,ift_frac_subpixel_init,ift_min_radius_final,ift_frac_subpixel_final,certified,damage,n_windows,giant_regions,mop_cleared,rounds,sqp_iters,corr_n,corr_resid_med_init,corr_resid_mad_init,corr_resid_med_final,corr_resid_mad_final,corr_n_outliers,corr_n_large,corr_n_high_resid,corr_n_incoherent,error,timing_mode,hit_cap,out_path,sha256
cohort_B0304_z144__isqp_l2,cohort_B0304_z144,cohort,isqp_l2,,Laplacian (RegTools),3x1x320x456,19316,0,11258.949717214124,0.0,74,0,-47.783656663261354,0.021987472276991504,1927.9460277859182,3985.2322700000004,0.12951617324561404,0.0,2.4360408915338234,1.5998667902705488,0.5186814692982457,395725.95897716103,1927.9460277859182,41.04489140027829,5.228522566619468,True,19827,20669,-30.77402000888833,20340,21181,-56.50244509903132,18901,19290,-55.50251237367047,18899,19316,-47.783656663261354,0,0,0.010173725892897719,0,0,0.010112935153775995,0,0,0.020347451785788728,0,0,0.021987472276991504,1.4346478835865461e-06,0.1706483004385965,0.0003591449983570439,0.32499314692982456,True,0,309,1,69,3,3169,439.0,0.5223317394875729,0.20551123793179363,22.449681488631185,13.722162428586572,29.0,0.0,0.0,29.0,,throughput,False,data\dvfs\results\cohort_isqp\cohort\cohort_B0304_z144__isqp_l2.npz,159619b12ebb980f01e8ccfe73e5ddbde4f84a5a4958fcb9b468b494d1c8b247
cohort_B0304_z336__isqp_none,cohort_B0304_z336,cohort,isqp_none,,Laplacian (RegTools),3x1x320x456,1141,0,723.5528195822226,0.0,175,0,-11.540912705482015,0.022103023371896596,112.66628555391185,139.73049969999556,0.007305372807017544,0.0,0.7054718308968274,0.4841729410520343,0.3271861293859649,6674.682716037223,112.66628555391185,14.47152218652421,0.13980442611560276,True,1681,1931,-17.33648495878424,1858,2113,-17.33648495878424,1222,1344,-34.67296991756848,1066,1141,-11.540912705482015,0,0,0.010627714457136117,0,0,0.010627714457136117,0,0,0.021996508135045265,0,0,0.022103023371896596,5.0582065923510396e-06,0.06345257675438597,0.0005181730993527448,0.07202576754385964,True,0,64,3,0,1,275,716.0,0.13547566401915914,0.054129011141457684,0.773832139241245,0.9147928159669021,49.0,0.0,33.0,34.0,,throughput,False,data\dvfs\results\cohort_isqp\cohort\cohort_B0304_z336__isqp_none.npz,a986e2eb3577cb805f78ea607521b8e8bf2cc658ef907a8ab8b824c8be98c312
cohort_B0304_z384__isqp_none,cohort_B0304_z384,cohort,isqp_none,,Laplacian (RegTools),3x1x320x456,1532,0,984.776647245215,0.0,226,0,-30.491422435103118,0.0222205975432863,154.71020037959738,71.84754970000358,0.009923245614035087,0.0,0.8655275154080908,0.6307820058117921,0.2676466557017544,11472.574743715204,154.71020037959738,14.647795631871999,0.2937543142674486,True,2297,2572,-41.470844626546466,2579,2843,-41.470844626546466,1597,1744,-70.30496398941841,1448,1532,-30.491422435103118,0,0,0.010992879553346532,0,0,0.010992879553346532,0,0,0.021999232136903978,0,0,0.0222205975432863,3.232293356848588e-08,0.08926809210526315,0.00024830701628453255,0.10119928728070175,True,0,41,4,0,1,269,670.0,0.14359576003301483,0.10569217233725205,1.782417435704566,1.9920290434587928,21.0,0.0,2.0,21.0,,throughput,False,data\dvfs\results\cohort_isqp\cohort\cohort_B0304_z384__isqp_none.npz,8dc710b201edfb8de969d779902be7a3108690330a3255b1095b5880a7447198
cohort_B0304_z288__isqp_l2,cohort_B0304_z288,cohort,isqp_l2,,Laplacian (RegTools),3x1x320x456,617,0,368.89428578937566,0.0,223,0,-6.699470561084195,0.022014227356230674,54.74355282284773,295.78333790000033,0.0037966008771929825,0.0,0.5801506377782161,0.4363690380870636,0.29865679824561403,2041.1313353378664,54.74355282284773,9.12955571677716,0.04683642348182346,True,1153,1406,-22.08153159972,1395,1651,-22.875803334825257,737,872,-44.16306319944,554,617,-6.699470561084195,0,0,0.010222954829015408,0,0,0.010222954829015408,0,0,0.020445909658033307,0,0,0.022014227356230674,6.121042530728442e-05,0.06071134868421053,0.0004060458519004703,0.06267132675438597,True,0,51,3,0,1,429,749.0,0.15210392233895376,0.05965553781590823,0.5509251017068819,0.6194864853272539,48.0,0.0,43.0,14.0,,throughput,False,data\dvfs\results\cohort_isqp\cohort\cohort_B0304_z288__isqp_l2.npz,15969c1e15939c11f9ea6566ebda3f4e69754939d255d171c16ad7d8f84f3be7
cohort_B0304_z336__isqp_l2,cohort_B0304_z336,cohort,isqp_l2,,Laplacian (RegTools),3x1x320x456,1141,0,723.5528195822226,0.0,175,0,-11.540912705482015,0.02200191458913463,87.62550442988261,313.9605994999947,0.007305372807017544,0.0,0.7054718308968274,0.5004537336398193,0.3240885416666667,4117.390434980769,87.62550442988261,15.208954675635063,0.08706498984967052,True,1681,1931,-17.33648495878424,1858,2113,-17.33648495878424,1222,1344,-34.67296991756848,1066,1141,-11.540912705482015,0,0,0.010252065470842304,0,0,0.010252065470842304,0,0,0.02148328721430397,0,0,0.02200191458913463,5.0582065923510396e-06,0.06345257675438597,0.00035023754177737604,0.06901041666666667,True,0,82,3,0,1,501,716.0,0.13547566401915914,0.054129011141457684,0.5409550228721953,0.6150532544818067,109.0,0.0,101.0,34.0,,throughput,False,data\dvfs\results\cohort_isqp\cohort\cohort_B0304_z336__isqp_l2.npz,edb8324e71c102f18eb6ead4b26ba085a5d4f611de621a821a2c830a7bfa4058
cohort_B0304_z480__isqp_none,cohort_B0304_z480,cohort,isqp_none,,Laplacian (RegTools),3x1x320x456,0,0,0.0,0.0,0,0,0.20926442230265252,0.20926442230265252,0.0,0.2166670000005979,0.0,0.0,0.15624853405748185,0.15624853405748185,0.0,0.0,0.0,0.0,0.0,True,0,0,0.09366619855848057,0,0,0.09078541305314047,0,0,0.18733239711696115,0,0,0.20926442230265252,0,0,0.09366619855848057,0,0,0.09078541305314047,0,0,0.18733239711696115,0,0,0.20926442230265252,0.4694646654522348,0.0004385964912280702,0.4694646654522348,0.0004385964912280702,True,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,throughput,False,data\dvfs\results\cohort_isqp\cohort\cohort_B0304_z480__isqp_none.npz,1defef13a0f9d3ba8024cc190e037b810d8db526be34638a325d65e7402a3547
cohort_B0304_z480__isqp_l2,cohort_B0304_z480,cohort,isqp_l2,,Laplacian (RegTools),3x1x320x456,0,0,0.0,0.0,0,0,0.20926442230265252,0.20926442230265252,0.0,0.2024033000052441,0.0,0.0,0.15624853405748185,0.15624853405748185,0.0,0.0,0.0,0.0,0.0,True,0,0,0.09366619855848057,0,0,0.09078541305314047,0,0,0.18733239711696115,0,0,0.20926442230265252,0,0,0.09366619855848057,0,0,0.09078541305314047,0,0,0.18733239711696115,0,0,0.20926442230265252,0.4694646654522348,0.0004385964912280702,0.4694646654522348,0.0004385964912280702,True,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,throughput,False,data\dvfs\results\cohort_isqp\cohort\cohort_B0304_z480__isqp_l2.npz,1defef13a0f9d3ba8024cc190e037b810d8db526be34638a325d65e7402a3547
cohort_B0304_z384__isqp_l2,cohort_B0304_z384,cohort,isqp_l2,,Laplacian (RegTools),3x1x320x456,1532,0,984.776647245215,0.0,226,0,-30.491422435103118,0.021998708521678713,105.21675751626991,289.2020448999974,0.009923245614035087,0.0,0.8655275154080908,0.6354931232726104,0.2680441337719298,5678.883366734416,105.21675751626991,17.876947355465276,0.14519171034526668,True,2297,2572,-41.470844626546466,2579,2843,-41.470844626546466,1597,1744,-70.30496398941841,1448,1532,-30.491422435103118,0,0,0.01057999200992379,0,0,0.0105683660168793,0,0,0.021159984019820076,0,0,0.021998708521678713,3.232293356848588e-08,0.08926809210526315,0.0002923906219826479,0.09533991228070175,True,0,60,4,0,1,626,670.0,0.14359576003301483,0.10569217233725205,1.3280603098550343,1.6419369168656288,23.0,0.0,7.0,21.0,,throughput,False,data\dvfs\results\cohort_isqp\cohort\cohort_B0304_z384__isqp_l2.npz,29d30c40446385ae81a0747a7644d9b9e80e95fa4f120a1e75dd5dbe65ae508b
cohort_B0304_z432__isqp_none,cohort_B0304_z432,cohort,isqp_none,,Laplacian (RegTools),3x1x320x456,10644,0,12801.596603411313,0.0,141,0,-116.94669542919246,0.02201351379971532,1347.8110777300694,496.05677840000135,0.07180646929824562,0.0,1.8753113729730775,1.18809774637189,0.5494311951754386,239113.36732266212,1347.8110777300694,51.83887270882614,2.982467505552519,True,11539,11888,-217.9745942319696,11873,12238,-245.89375024235414,10638,10818,-435.9491884639392,10478,10644,-116.94669542919246,0,0,0.01099999999998771,0,0,0.01099994408005487,0,0,0.022000000000000283,0,0,0.02201351379971532,1.9992049690363614e-06,0.16906524122807018,0.0002386182478576234,0.2753563596491228,True,0,169,3,0,1,1293,731.0,0.22403874362016143,0.25639584796996084,9.59450308965145,10.413681894594887,41.0,0.0,0.0,41.0,,throughput,False,data\dvfs\results\cohort_isqp\cohort\cohort_B0304_z432__isqp_none.npz,76e6c60b8f7fc057d3d95dc576eb0897cd54145ab548405dc7114e1d15a99e36
cohort_B0304_z432__isqp_l2,cohort_B0304_z432,cohort,isqp_l2,,Laplacian (RegTools),3x1x320x456,10644,0,12801.596603411313,0.0,141,0,-116.94669542919246,0.022001872045662032,983.4444030739795,765.9637396000035,0.07180646929824562,0.0,1.8753113729730775,1.2436181013233158,0.5473684210526316,132642.4927795538,983.4444030739795,51.13146193324752,1.6606882609619618,True,11539,11888,-217.9745942319696,11873,12238,-245.89375024235414,10638,10818,-435.9491884639392,10478,10644,-116.94669542919246,0,0,0.010751439284726121,0,0,0.01014714688064193,0,0,0.021616743932334027,0,0,0.022001872045662032,1.9992049690363614e-06,0.16906524122807018,0.00012863850068946863,0.2423793859649123,True,0,296,3,1,4,2393,731.0,0.22403874362016143,0.25639584796996084,9.650400771546016,12.31681769475675,41.0,0.0,0.0,41.0,,throughput,False,data\dvfs\results\cohort_isqp\cohort\cohort_B0304_z432__isqp_l2.npz,46adc66d105558f725fbf6f36aa9f93bbc70520129d1a10d07c5627050c29f6b
