case_id,method,shape,init_n_neg_2tri,init_min_T,final_n_neg_2tri,final_min_T,feasible,L1_dev,L2_dev,Linf_dev,wall_s,error
b0039_z012,auto_slp,320x456,4902,-135.98493733000942,0,0.010090067867430219,True,167210.38834003665,1794.859058906906,73.35466625416332,68.62133049964905,
b0039_z050,auto_slp,320x456,702,-8.843854487603494,0,0.01009038105969537,True,709.8229661593504,35.33083817791448,5.747098216054951,29.34407329559326,
b0039_z100,auto_slp,320x456,399,-11.16393581157719,0,0.01009006197642387,True,423.64187142839546,29.104202245842853,7.956917933587273,24.681761741638184,
b0039_z150,auto_slp,320x456,588,-6.491724751004313,0,0.01009005803111837,True,561.6135597996567,29.818560571967225,6.789556504578678,36.10143542289734,
b0039_z200,auto_slp,320x456,1003,-31.119114621594075,0,0.010090276030240425,True,1085.8338723926672,44.619264331020034,7.631474976888466,59.696794509887695,
b0039_z250,auto_slp,320x456,1594,-22.023795867818848,0,0.010090052387652804,True,1863.516626996268,63.076304894727784,8.105825724815244,117.14465188980103,
b0039_z300,auto_slp,320x456,1847,-18.680846919090186,0,0.010089082098968347,True,2098.519633497106,64.23862869097542,7.721931752174795,123.79134678840637,
b0039_z350,auto_slp,320x456,1661,-19.89862523591235,0,0.010090205565522559,True,1943.567003753775,64.74676066878101,7.962859716359678,111.31591510772705,
b0039_z400,auto_slp,320x456,1348,-14.699702448506024,0,0.010087524975190134,True,1445.241816189754,54.29895249366658,7.054103440935232,70.8884768486023,
b0039_z450,auto_slp,320x456,1432,-15.301526069944828,0,0.010090112063483711,True,2322.1231470332923,74.05535561785469,9.064486070529536,71.94662761688232,
b0039_z500,auto_slp,320x456,1186,-18.255883496053215,0,0.010090794521990076,True,2006.453203674073,65.46135194549628,9.017159888323299,61.29193639755249,
