z,init_n_neg,final_n_neg,feasible,L1_dev,final_min_T,wall_s,dispatch
140,452,0,1,455.417,0.010090,8.44,
141,436,0,1,380.553,0.010090,17.32,
142,364,0,1,290.486,0.010092,16.29,
143,399,0,1,383.599,0.010090,21.63,
144,418,0,1,394.939,0.010086,22.16,
145,412,0,1,399.349,0.010091,16.04,
146,496,0,1,1038.414,0.010090,20.56,
147,468,0,1,564.230,0.010047,22.81,
148,566,0,1,548.866,0.010090,17.73,
149,638,0,1,554.170,0.010090,12.93,
150,588,0,1,559.578,0.010090,20.34,
151,572,0,1,700.763,0.010090,17.63,
152,540,0,1,556.090,0.010090,22.03,
153,564,0,1,573.847,0.010091,22.65,
154,619,0,1,710.931,0.010090,19.86,
155,490,0,1,455.869,0.010090,21.82,
156,562,0,1,580.390,0.010090,23.10,
157,656,0,1,662.979,0.010090,24.56,
158,613,0,1,549.479,0.010090,16.71,
159,548,0,1,565.814,0.010090,14.07,
160,621,0,1,633.748,0.010090,20.18,
161,592,0,1,672.863,0.010090,13.90,
162,527,0,1,556.107,0.010090,14.07,
163,578,0,1,610.090,0.010090,14.74,
164,636,0,1,620.286,0.010091,15.49,
165,656,0,1,613.671,0.010090,17.09,
166,584,0,1,545.066,0.010090,14.93,
167,632,0,1,650.071,0.010090,15.06,
168,684,0,1,752.445,0.010090,14.26,
169,645,0,1,672.164,0.010090,15.95,
170,618,0,1,784.713,0.010091,15.30,
171,689,0,1,661.346,0.010091,17.82,
172,674,0,1,707.399,0.010091,18.38,
173,688,0,1,697.497,0.009994,19.09,
174,699,0,1,1176.456,0.010090,16.90,
175,778,0,1,914.004,0.010090,16.41,
176,841,0,1,923.984,0.010090,16.08,
177,815,0,1,876.713,0.010090,18.11,
178,828,0,1,915.152,0.010087,15.94,
179,841,0,1,1303.692,0.010090,16.94,
180,829,0,1,779.184,0.010090,16.03,
181,793,0,1,849.343,0.010090,18.43,
182,826,0,1,871.828,0.010091,16.49,
183,834,0,1,931.506,0.010090,17.44,
184,840,0,1,975.045,0.010088,20.40,
185,875,0,1,907.691,0.009990,21.50,
186,830,0,1,876.813,0.010081,16.50,
187,849,0,1,995.830,0.010090,16.44,
188,748,0,1,686.380,0.010091,15.33,
189,748,0,1,814.577,0.010090,17.15,
190,820,0,1,873.339,0.010090,14.77,
191,949,0,1,1031.448,0.010090,18.99,
192,903,0,1,1066.263,0.010090,16.83,
193,894,0,1,920.434,0.010090,17.01,
194,889,0,1,996.526,0.010068,17.04,
195,838,0,1,1221.276,0.010090,16.77,
196,882,0,1,987.679,0.010090,16.31,
197,984,0,1,1470.692,0.010090,18.61,
198,1042,0,1,2699.305,0.010076,21.52,
199,1053,0,1,1492.756,0.010090,15.84,
200,1003,0,1,1075.634,0.010090,17.92,
201,1004,0,1,975.382,0.010090,17.40,
202,1056,0,1,2685.424,0.010090,18.63,
203,1202,0,1,2130.270,0.010090,19.91,
204,1173,0,1,2019.836,0.010090,19.39,
205,1134,0,1,2393.753,0.010090,20.04,
206,1385,0,1,3506.242,0.010090,19.39,
207,1415,0,1,2634.939,0.010091,30.83,
208,1472,0,1,3528.126,0.010083,15.48,
209,1303,0,1,1298.652,0.010090,14.97,
210,1239,0,1,1195.683,0.010090,14.58,
211,1371,0,1,2321.946,0.010002,15.95,
212,1351,0,1,1745.426,0.010090,14.20,
213,1455,0,1,1523.152,0.010090,15.46,
214,1438,0,1,1540.913,0.010089,14.64,
215,1383,0,1,1326.446,0.010090,14.13,
216,1368,0,1,1410.548,0.010086,14.20,
217,1380,0,1,1361.410,0.010091,14.58,
218,1373,0,1,1655.142,0.010090,13.78,
